"ID","NOMBRE_ELECCION","AÑO_ELECCION","PAIS","REGION","DEPTO","MUNICIPIO","PARTIDO","NOMBRE_PARTIDO","SEXO","RAZA","ANALFABETOS","ALFABETOS","PRIMARIA","NIVEL_MEDIO","UNIVERSITARIOS"
84,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","San Pedro Masahuat","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2661,2535,546,1381,608
85,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","Olocuilta","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1951,6864,2007,2707,2150
86,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","San Pedro Nonualco","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2776,3418,1034,1672,712
87,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","San Francisco Chinameca","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2593,5563,2798,1509,1256
88,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","San Juan Talpa","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2207,2692,62,347,2283
89,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","El Rosario","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",238,3108,2211,444,453
90,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","San Rafael Obrajuelo","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2405,4644,1182,2063,1399
91,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","Santa María Ostuma","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",887,6728,2618,2359,1751
92,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","San Luis Talpa","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2872,5207,2840,985,1382
93,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","San Antonio Masahuat","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2257,5312,1845,2060,1407
94,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","San Miguel Tepezontes","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2908,4340,1114,1649,1577
95,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","San Juan Tepezontes","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",424,2645,1075,1538,32
96,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","Tapalhuaca","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",360,6024,1994,2542,1488
97,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","Cuyultitán","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",964,4686,2602,1589,495
98,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","Paraíso de Osorio","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1854,7775,2470,2886,2419
99,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","San Emigdio","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2050,6831,2288,1776,2767
100,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","Jerusalén","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1967,2312,557,1078,677
101,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","Mercedes La Ceiba","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1852,4952,1615,838,2499
102,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","San Luis La Herradura","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1341,4624,1977,1634,1013
103,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","La Unión","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",186,7490,2792,2101,2597
104,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","Santa Rosa de Lima","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2030,5579,118,2673,2788
105,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","Pasaquina","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",35,2989,910,1513,566
106,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","San Alejo","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1655,2079,892,7,1180
107,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","Anamorós","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",762,3957,2151,1089,717
108,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","El Carmen","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1905,5250,1971,512,2767
109,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","Conchagua","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1333,1058,869,45,144
110,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","El Sauce","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2625,5597,231,2891,2475
111,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","Lislique","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1082,4821,2822,197,1802
112,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","Yucuayquín","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1615,4290,2637,1147,506
113,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","Nueva Esparta","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2890,2935,365,1606,964
114,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","Polorós","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2061,3050,2224,628,198
115,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","Bolívar","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2297,5303,2609,2088,606
116,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","Concepción de Oriente","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",9,3885,250,1951,1684
117,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","Intipucá","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2645,4867,1344,2819,704
118,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","San José La Fuente","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1427,2274,459,1800,15
119,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","Yayantique","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",78,4876,934,2218,1724
120,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","La Unión  ","Meanguera del Golfo","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1435,5417,2706,2218,493
121,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","San Francisco Gotera","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1065,4145,2271,344,1530
122,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Jocoro","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2893,3961,1318,1025,1618
123,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Corinto","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2264,4771,495,1595,2681
124,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Sociedad","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1252,5838,1494,2634,1710
125,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Cacaopera","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1038,4889,1779,1036,2074
126,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Guatajiagüa","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1903,4868,2537,1148,1183
127,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","El Divisadero","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1360,2117,129,278,1710
128,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Jocoaitique","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1444,5237,520,1992,2725
129,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Osicala","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2126,2438,1433,565,440
130,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Chilanga","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",727,3718,2916,797,5
131,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Meanguera","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",181,1044,103,834,107
132,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Torola","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1320,2879,851,601,1427
133,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","San Simón","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1431,6081,2351,2030,1700
134,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Delicias de Concepción","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",185,5146,1785,830,2531
135,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Joateca","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1871,7101,2413,2735,1953
136,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Arambala","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2930,3870,506,1572,1792
137,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Lolotiquillo","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",976,5001,2952,904,1145
138,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Yamabal","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",416,4826,62,2972,1792
139,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Yoloaiquín","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1231,5008,1541,1313,2154
140,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","San Carlos","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1989,2523,970,1503,50
141,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","El Rosario","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",586,5922,1440,2773,1709
142,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Perquín","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1735,6380,2092,1495,2793
143,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Sensembra","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1211,3498,2901,197,400
144,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","Gualococti","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2169,2881,2024,704,153
145,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","San Fernando","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1526,3890,1374,2375,141
146,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","Morazán  ","San Isidro","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",967,2800,872,241,1687
147,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","San Miguel  ","San Miguel","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1013,5024,1469,1882,1673
148,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","San Miguel  ","Chinameca","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2295,7762,2614,2545,2603
149,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","San Miguel  ","El Tránsito","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",351,5447,470,2026,2951
150,"Elecciones Municipales",2005,"EL SALVADOR","REGION 4","San Miguel  ","Ciudad Barrios","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",381,3708,1872,1114,722
